Timestamp,PPI
290924.6288096,1004
290924.6288511,1027
290929.5433431,1034
290929.543421,1030
290929.5435294,1047
290929.5435397,1014
290929.5436145,1030
290934.6667781,1001
290934.6669177,963
290934.6670219,952
290934.667037,944
290934.6670456,1000
290939.3990126,1017
290939.3990867,1026
290939.3991282,979
290939.399231,933
290939.3992768,903
290944.5455042,954
290944.5456265,1022
290944.5456868,1087
290944.545754,1133
290944.5458258,686
290944.5459289,847
290949.6737953,1724
290949.6739662,1330
290949.6740217,1013
290954.6935698,971
290954.6937264,920
290954.6937957,1543
290954.6938691,804
290954.6939325,1491
290959.631965,752
290959.632143,863
290959.6322285,737
290959.6323478,873
290959.6324331,837
290959.6325124,779
290964.5367263,859
290964.5368062,1457
290964.5368539,1232
290964.5369014,887
290969.6256989,880
290969.6259183,895
290969.6260221,875
290969.6260849,799
290969.6261979,852
290969.626312,930
290974.7380103,801
290974.738112,1733
290974.738123,879
290974.7381431,889
290979.5576742,876
290979.5578565,790
290979.5579628,807
290979.5580266,805
290979.5580696,789
290979.5581085,706
290979.5581666,563
290979.5582194,552
290984.7129355,1008
290984.7131198,579
290984.7132755,1094
290984.713348,626
290984.7134217,932
290984.7134815,611
290989.6386631,1154
290989.6387437,859
290989.6388138,1013
290989.6388691,1092
290994.6725925,1323
290994.6726951,880
290994.672708,979
290994.6728079,857
290994.6729032,950
290994.672969,907
290999.4814644,955
290999.481627,864
290999.481695,812
290999.4817813,864
290999.4818723,706
290999.481944,945
291004.6104649,872
291004.6106169,824
291004.6106948,1618
291009.7146594,1638
291009.7147905,1311
291009.7148603,1532
291009.714954,1166
291009.7149733,1577
291014.5662191,794
291014.5663365,814
291014.5664361,1128
291014.5664526,624
291014.5665679,755
291019.5281632,830
291019.5282782,918
291019.5284586,836
291019.528527,868
291019.5286179,759
291019.5286816,812
291024.6183018,859
291024.6184565,764
291024.6185299,953
291024.6186044,872
291024.6186796,807
291024.6187435,951
291029.7265711,823
291029.7267151,870
291029.7267789,770
291029.7268997,819
291029.7269107,848
291029.7269903,854
291034.5244879,958
291034.5246914,864
291034.5247716,800
291034.524869,401
291034.524902,503
291034.5249647,881
291034.5250267,898
